Sample ID,Site,Aggregate,ID,Addition,Replicate,Notes,Incubation,Extraction number,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN,MBC,MBN,BG,CBH,LAP,NAG,PHOS,FDA,POXC,CUE,CUEFilt,WHC,MWD,proportion_mass,Bulk_density,infiltration,Dry,fPOM_TC,fPOM_13C%,fPOM_TN,fPOM_15N%,oPOM_TC,oPOM_13C%,oPOM_TN,oPOM_15N%,MAOM_TC,MAOM_13C%,MAOM_TN,MAOM_15N%,fPOM_C Comment (13C analysis) ,fPOM (g),oPOM(g),MAOM,proportion fPOM by mass,proportion oPOM by mass,proportion MAOM by mass,TC,TN,C%,N%,Dry soil / wet soil,Infiltration,bulk_density_g.cm3,Proportion <53,Proportion >53,Proportion >250,Proportion >2000
4,C,Bulk,C4,16O,1,,Done,6,9.95,205.14,0.05,116.11,5.63,117.2,16.11,1.09,10.48,,,,,,23.0178322,313.9376,0.006279738,,0.37,1189.863544,,1.153,211,0.853,43.83329793,1.086072989,4.082572056,0.367566037,10.69218916,1.085963044,0.960319753,0.367471149,10.29151943,1.084533744,1.431340793,0.369314127,,0.14,0.9,3.97,0.027944112,0.179640719,0.79241517,11.69823995,1.438261239,1.085523259,0.368117104,0.853,211,1.153,0.447072275,0.217668653,0.180176927,0.155082145
5,C,Bulk,C5,16O,1,,Done,6,16,123.8,0.24,62.22,6.39,111.11,14.11,48.89,7.72,,,,,,21.4398861,262.1903,0.031973717,,0.461,1243.539673,,1.243,240,,55.940492,1.085688182,5.495978134,0.367274074,11.55096452,1.085501275,1.019647535,0.367525892,11.2885855,1.08445678,1.555080971,0.369266685,,0.17,0.84,4,0.033932136,0.167664671,0.798403194,13.24714437,1.61846336,1.085215412,0.368022217,,240,1.243,0.417493237,0.12094229,0.321291704,0.140272768
6,C,Bulk,C6,16O,1,,Done,8,28.73,325.07,0.68,58.64,5.8,107.51,16.78,48.87,10.98,,,,,,16.8568595,308.1458,0.034337302,,0.492,1566.863152,,,,,33.19738785,1.085974039,3.139011925,0.367642677,9.420221881,1.0858531,0.936772797,0.367288672,8.215957342,1.084533744,1.135183174,0.369263036,,0.2,0.72,4.11,0.039761431,0.143141153,0.817097416,9.773450582,1.198273582,1.085453628,0.368064795,,,,0.373791559,0.146132988,0.27805942,0.202016034
7,C,Bulk,C7,16O,1,,Done,5,37.96,271.62,-0.16,100.44,3.4,158.71,16.16,58.27,12.76,833.5398644,84.12870737,17.28146028,39.98558013,150.7597555,16.7476044,238.7861,0.08140701,,0.382,1547.758843,,1.157,245,0.853,19.86425294,1.085512269,2.577797726,0.368036823,8.827184656,1.086226911,0.88257168,0.367354364,12.51816524,1.08522641,1.830831814,0.369084215,,0.13,0.87,4.03,0.02584493,0.172962227,0.801192843,12.47990254,1.716402311,1.085655197,0.368158467,0.853,245,1.157,0.418025549,0.15311709,0.219638547,0.209218814
8,C,Bulk,C8,16O,1,,Done,5,265.34,342.32,-0.32,26.03,6.8,113.37,12.69,87.34,5.89,,,,,,26.6900636,260.5732,0.194136408,,0.371,1293.072705,,1.16,248,,30.91224284,1.085831111,4.051503381,0.367941936,9.053571429,1.086886571,0.989404762,0.366847076,11.19052296,1.084962538,1.53570805,0.369018526,,0.15,0.84,4.02,0.02994012,0.167664671,0.80239521,11.82912596,1.545859105,1.085893407,0.367935846,,248,1.16,0.474025974,0.129763679,0.23158399,0.164626357
9,C,Bulk,C9,16O,1,,Done,7,1123.46,290.84,-0.05,70.39,4.69,127.95,14.93,57.56,10.24,1489.11751,120.6200899,8.059047214,30.53906523,83.32688167,23.6490987,267.9684,-0.272240363,1,0.335,1010.082192,,,,,15.69148936,1.085820116,2.069908815,0.367956534,6.934091885,1.086875576,0.78939459,0.366847076,8.00638813,1.085149448,1.157488022,0.368952836,,0.18,0.76,4.07,0.035928144,0.151696607,0.81237525,8.52889716,1.163492384,1.08594838,0.367918815,,,,0.520748436,0.152786547,0.205016358,0.12144866
1,C,C,CC1,16O,1,,Done,5,29.67,563.59,0.85,31.51,2.97,93.67,11.55,62.16,8.58,356.6100864,24.03869398,7.924254088,32.97243932,122.4812551,20.5573006,324.8674,-0.081724097,1,0.571,,0.161421431,,,,52.20024329,1.086182933,4.699996712,0.36723028,1.2501886,1.085831111,0.337467435,0.367113494,7.490954367,1.085050496,1.149646688,0.367215681,,0.3,3.86,0.93,0.058939096,0.758349705,0.182711198,5.780847053,0.750435711,1.08568818,0.367186485,,,,,,,
2,C,C,CC2,16O,1,,Done,8,1.18,476.67,-0.58,19.24,0.37,60.21,1.18,40.97,0.81,,,,,,19.882087,280.6976,0.043441057,1,0.722,,0.200893596,,,,48.80297122,1.100627482,4.860756436,0.367087947,1.401654604,1.08561122,0.356466061,0.367095246,7.463037305,1.085248399,0.863605209,0.367478448,Contained more C than largest reference,0.3,4.1,0.61,0.05988024,0.818363273,0.121756487,5.370321783,0.700183831,1.0904957,0.367220547,,,,,,,
3,C,C,CC3,16O,1,,Done,5,-8.63,262.98,,47.59,6.43,158.6,15.6,111.01,9.17,303.1248769,37.26795379,8.989342003,37.4042188,27.46176171,17.5045528,231.6198,0.050313529,1,0.666,,0.210615473,,,,38.84754496,1.086930548,3.615477874,0.367208382,2.645761079,1.086886571,0.478323699,0.36722298,5.037095501,1.083181367,0.863193896,0.36791274,,0.29,3.57,1.15,0.057884232,0.71257485,0.229540918,5.701309134,0.779385417,1.085666162,0.367448034,,,,,,,
4,C,C,CC4,16O,1,,Done,5,16.73,270.14,-0.21,47.39,2.98,147.03,16.83,99.64,13.85,,,,,,27.5844431,321.4921,0.074955057,,0.611,,0.217668653,,,,37.71214202,1.087139438,3.392506865,0.367281373,2.694734706,1.086897565,0.486456325,0.367135391,4.904493279,1.083412264,0.653997893,0.368233895,,0.28,3.91,0.86,0.055445545,0.774257426,0.17029703,5.432137264,0.715643713,1.085816422,0.36755022,,,,,,,
