Sample ID,Site,Aggregate,Addition,Replicate,Incubation,Location,Extracted (please put a date here),DNA loaction,DNA concentration,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN
4,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,O,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,O,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,O,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,O,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,O,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
5,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
5,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,O,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,O,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,O,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,O,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,O,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
6,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
6,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,O,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,O,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,O,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,O,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,O,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
