"ID","Site_logFC","Site_logCPM","Site_LR","Site_PValue","Site_FDR","A_logFC","A_logCPM","A_LR","A_PValue","A_FDR","B_logFC","B_logCPM","B_LR","B_PValue","B_FDR","C_logFC","C_logCPM","C_LR","C_PValue","C_FDR","D_logFC","D_logCPM","D_LR","D_PValue","D_FDR","KEGG","Path","Name"
"adenine",0.381597844689255,5.99682960950198,4.32538998021636,0.0375478093108133,0.0825063704592872,0.652396409965605,5.99682960950198,4.52736627408422,0.0333569161087844,0.404336210566502,0.725730507446571,5.99682960950198,6.12848139469684,0.0133021081088165,0.18762471650176,0.216506794614589,5.99682960950198,0.557725558088102,0.455178104046189,0.55893193658613,0.237830463007655,5.99682960950198,0.597663943251234,0.439470728205062,0.616736232018868,"C00147","map00230; map00908; map01100","menaquinone-protoporphyrinogen oxidase [EC:1.3.5.3]; calcium/calmodulin-protein kinase 1 [EC:2.7.11.17]; sedoheptulose-bisphosphatase [EC:3.1.3.37]"
"6-deoxyglucose",-0.0290567291761482,10.9362098041281,0.0251988674852015,0.873872531348653,0.88985800448308,0.0909818736826092,10.9362098041281,0.0916887696842608,0.762041113436791,0.96785189401624,-0.0654934321551478,10.9362098041281,0.0528717391910973,0.818139516135844,0.952439162386523,-0.30202952888583,10.9362098041281,1.11548270625079,0.29089322756211,0.385548960340256,-0.267847637350295,10.9362098041281,0.791605052013438,0.37361523389598,0.572419670280997,"C08352",NA,NA
"4-hydroxybutyric acid",-0.153845736149817,7.40440051155294,1.62759547744952,0.202035950621187,0.306654786083631,0.197273473404411,7.40440051155294,0.965566511289175,0.325788372694559,0.794239047321621,0.249691303558908,7.40440051155294,1.70890165152316,0.191127937627041,0.71031110243097,0.0764590568152211,7.40440051155294,0.16237791359498,0.68697659930466,0.752425660207715,0.00409779751190447,7.40440051155294,0.000414607525808464,0.983754666083917,0.989680899012134,"C00989","map00650; map00720; map01100; map01120; map01200","lecithin-acyltransferase [EC:2.3.1.43]; ceramide glucosyltransferase [EC:2.4.1.80]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; 3',5'-cyclic-phosphodiesterase [EC:3.1.4.17]; pullulanase [EC:3.2.1.41]"
"4-aminobutyric acid",0.897091083274351,6.2103171866664,14.0874535621479,0.000174503906454889,0.00104079115635594,-0.599657765703797,6.2103171866664,2.43935063498665,0.118325199531336,0.573505657777557,-0.735341666190697,6.2103171866664,4.12728294663631,0.042197049690052,0.335567014201842,-0.0199563121571038,6.2103171866664,0.00279363930594201,0.957847527373246,0.957847527373246,-1.41944803679259,6.2103171866664,13.1299631998072,0.000290610481294046,0.0241455738784046,"C00334","map00250; map00330; map00410; map00650; map00760; map01100; map01120; map02024; map04024; map04080; map04721; map04723; map04727; map04742; map04915; map04929; map05032; map05033","NA; NADH-oxidoreductase A [EC:7.1.1.2]; ubiquinol-c cytochrome b/subunit; lecithin-acyltransferase [EC:2.3.1.43]; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; 3',5'-cyclic-phosphodiesterase [EC:3.1.4.17]; maltoporin; ethanolamine protein EutJ; molecular IbpA; tumor factor superfamily 10; interleukin receptor protein; apoptosis-factor 1 [EC:1.-.-.-]; chondroitin 4-12 [EC:2.8.2.5]; potassium subfamily member 4; potassium voltage-channel KQT-subfamily 4; ATP-cassette C (CFTR/MRP) 8; ATP-cassette C (CFTR/MRP) 9"
"4',5-dihydroxy-7-glucosyloxyflavanone ",0.26440189566974,6.15777063483965,1.02458123780753,0.311434785986823,0.419432332740318,0.505526504476602,6.15777063483965,1.37486548518036,0.240977681880867,0.68537712647491,0.359358687691222,6.15777063483965,0.773125492492738,0.3792518895558,0.789522352491544,0.792917237384001,6.15777063483965,3.70905848982784,0.0541179093955422,0.105428498467409,0.574451043936528,6.15777063483965,1.79403293195847,0.180435561560695,0.419894651688144,"C09099","map00941","hydroxymethylpyrimidine/kinase [EC:2.7.1.2.7.4.7]"
"3,4-dihydroxycinnamic acid",-0.825738977474618,7.52976625043399,11.8747903659802,0.00056898873988232,0.00279473881059845,-0.745809434643196,7.52976625043399,3.67189899531828,0.0553371017781836,0.440061714140794,-0.246159394212426,7.52976625043399,0.442070729603294,0.506124692016507,0.833972615815463,0.204170306842498,7.52976625043399,0.309837934346881,0.577779652319804,0.672744252531341,-0.0578057598227205,7.52976625043399,0.0223171848161812,0.881246396619904,0.931443976174203,"C01197","map00940; map01061; map01100; map01110; map01220","nucleoside-kinase [EC:2.7.4.6]; carboxymethylenebutenolidase [EC:3.1.1.45]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; phosphatidylinositol-3,4,5-3-and dual-protein PTEN [EC:3.1.3.3.1.3.3.1.3.67]; 6-phospho-beta-galactosidase [EC:3.2.1.85]"
"2-monoolein",1.43113732326158,8.19710595793896,14.3899154929159,0.000148595970743293,0.000954443350543461,-1.28227469246703,8.19710595793896,4.52078179125827,0.0334855267788786,0.404336210566502,0.174824635564074,8.19710595793896,0.102340425128865,0.749038906542012,0.933503711884448,-0.328436915392461,8.19710595793896,0.335158377417365,0.562637320186744,0.661693186416805,-1.00643131111261,8.19710595793896,2.88213684212872,0.0895670922408207,0.27699452600402,"",NA,NA
"1-octacosanol",-0.72833729170536,7.57964419327578,26.5347910171659,2.58834425328373e-07,3.92957718453075e-06,0.0351950624741299,7.57964419327578,0.0228659285545412,0.879806242403694,0.96785189401624,-0.38695468985279,7.57964419327578,3.06143638632906,0.0801707697920748,0.514943021356788,-0.244048457296231,7.57964419327578,1.23325930656265,0.266774115696723,0.361224431243936,0.203976095987394,7.57964419327578,0.768705481813697,0.380617820022664,0.577847054034408,"C08387",NA,NA
"1-monostearin",-0.110423617927354,6.76502392010659,0.304766259355972,0.580909718259612,0.649176263449473,-0.0864084537505512,6.76502392010659,0.0674267478043191,0.795120951503625,0.96785189401624,-0.198032916033447,6.76502392010659,0.394581695305973,0.529900846435554,0.842794679568929,0.547293619658792,6.76502392010659,2.98756600359025,0.0839061993569874,0.145449728470228,0.0322662934007456,6.76502392010659,0.00941732683000396,0.922692316149546,0.950169281478647,"D01947",NA,NA
"1-monopalmitin",-0.14440719715373,7.22799846099781,0.337365865886888,0.561353654650983,0.638440816310522,0.642801616409749,7.22799846099781,2.43755363421324,0.11846084275203,0.573505657777557,-0.0565713604680094,7.22799846099781,0.0225022944892572,0.880758581226226,0.952439162386523,0.522888546724097,7.22799846099781,1.88513031982915,0.169752197280583,0.253112651302298,-0.0892160859319416,7.22799846099781,0.0494568976010967,0.824011021174309,0.886757809916673,"",NA,NA
